Title;Authors;IMSDb Page;IMSDb Script Page
Austin Powers - The Spy Who Shagged Me;Mike Myers;/Movie Scripts/Austin Powers - The Spy Who Shagged Me Script.html;/scripts/Austin-Powers---The-Spy-Who-Shagged-Me.html
Authors Anonymous;David Congalton;/Movie Scripts/Authors Anonymous Script.html;/scripts/Authors-Anonymous.html
Autumn in New York;Allison Burnett;/Movie Scripts/Autumn in New York Script.html;/scripts/Autumn-in-New-York.html
Avatar;James Cameron;/Movie Scripts/Avatar Script.html;/scripts/Avatar.html
Avengers, The;Don Macpherson;/Movie Scripts/Avengers, The Script.html;/scripts/Avengers,-The.html
Avengers, The (2012);Joss Whedon;/Movie Scripts/Avengers, The (2012) Script.html;/scripts/Avengers,-The-(2012).html
Avventura, L' (The Adventure);Michelangelo Antonioni,Elio Bartolini,Tonino Guerra;/Movie Scripts/Avventura, L' (The Adventure) Script.html;/scripts/Avventura,-L'-(The-Adventure).html
Awakenings;Steven Zaillian;/Movie Scripts/Awakenings Script.html;/scripts/Awakenings.html
Babel;Guillermo Arriaga;/Movie Scripts/Babel Script.html;/scripts/Babel.html
Bachelor Party;Neal Israel,Pat Proft,Bob Israel;/Movie Scripts/Bachelor Party Script.html;/scripts/Bachelor-Party.html
Bachelor Party, The;Paddy Chayefsky;/Movie Scripts/Bachelor Party, The Script.html;/scripts/Bachelor-Party,-The.html
Back-up Plan, The;Kate Angelo;/Movie Scripts/Back-up Plan, The Script.html;/scripts/Back-up-Plan,-The.html
Backdraft;Gregory Widen;/Movie Scripts/Backdraft Script.html;/scripts/Backdraft.html
Bad Boys;Michael Barrie,Jim Mulholland,Doug Richardson;/Movie Scripts/Bad Boys Script.html;/scripts/Bad-Boys.html
Bad Country;Jonathan Hirschbein;/Movie Scripts/Bad Country Script.html;/scripts/Bad-Country.html
Bad Day at Black Rock;Don McGuire,Millard Kaufman,Howard Breslin;/Movie Scripts/Bad Day at Black Rock Script.html;/scripts/Bad-Day-at-Black-Rock.html
Bad Dreams;Andrew Fleming,Steven E. de Souza;/Movie Scripts/Bad Dreams Script.html;/scripts/Bad-Dreams.html
Bad Lieutenant;Abel Ferrara,Zoe Lund;/Movie Scripts/Bad Lieutenant Script.html;/scripts/Bad-Lieutenant.html
Bad Santa;Glenn Ficarra,John Requa;/Movie Scripts/Bad Santa Script.html;/scripts/Bad-Santa.html
Bad Teacher;Lee Eisenberg,Gene Stupnitsky;/Movie Scripts/Bad Teacher Script.html;/scripts/Bad-Teacher.html
Badlands;Terence Malick;/Movie Scripts/Badlands Script.html;/scripts/Badlands.html
